nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination,director_count,writer_count,actor_count
Chiwetel Ejiofor,1,0,0,5,0,0,24
Screenplay by George Clooney & Grant Heslov,1,0,0,0,0,0,0
Written by Lisa Cholodenko & Stuart Blumberg,1,0,0,0,0,0,0
Written by Christopher Nolan,1,0,0,0,0,0,0
Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,1,0,0,0,0,0,0
Adapted for the screen by Debra Granik & Anne Rosellini,1,0,0,0,0,0,0
"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",1,0,0,0,0,0,0
Screenplay by Aaron Sorkin,1,0,0,0,0,0,0
Screenplay by Danny Boyle & Simon Beaufoy,1,0,0,0,0,0,0
Tom Hooper,1,0,0,1,4,0,0
Darren Aronofsky,1,0,0,1,7,5,0
Hailee Steinfeld,1,0,0,1,0,0,13
John Hawkes,1,0,0,1,0,0,25
James Franco,1,0,0,4,7,2,47
Jesse Eisenberg,1,0,0,1,0,0,23
"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy",1,0,0,0,0,0,0
Written by Alessandro Camon & Oren Moverman,1,0,0,0,0,0,0
Screenplay by Jason Reitman and Sheldon Turner,1,0,0,0,0,0,0
Screenplay by Geoffrey Fletcher,1,0,0,0,0,0,0
"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",1,0,0,0,0,0,0
Written by Neill Blomkamp and Terri Tatchell,1,0,0,0,0,0,0
Lee Daniels,1,0,0,0,3,1,2
Kathryn Bigelow,1,0,0,2,9,2,0
Mo'Nique,1,0,0,1,0,0,10
Anna Kendrick,1,0,0,1,0,0,28
Screenplay by David Seidler,1,0,0,0,0,0,0
Demián Bichir,1,0,0,0,0,0,17
Jean Dujardin,1,0,0,1,0,1,17
Emmanuelle Riva,1,0,0,0,0,0,3
Written by Wes Anderson & Roman Coppola,1,0,0,0,0,0,0
Written by John Gatins,1,0,0,0,0,0,0
Written by Michael Haneke,1,0,0,0,0,0,0
Screenplay by David O. Russell,1,0,0,0,0,0,0
Screenplay by Tony Kushner,1,0,0,0,0,0,0
Screenplay by Lucy Alibar & Benh Zeitlin,1,0,0,0,0,0,0
Screenplay by Chris Terrio,1,0,0,0,0,0,0
Benh Zeitlin,1,0,0,0,1,1,0
Michael Haneke,1,0,0,0,6,7,0
Quvenzhané Wallis,1,0,0,1,0,0,6
Hugh Jackman,1,0,0,3,0,0,27
Bérénice Bejo,1,0,0,1,0,0,17
Written by Asghar Farhadi,1,0,0,0,0,0,0
Written by J.C. Chandor,1,0,0,0,0,0,0
Written by Annie Mumolo & Kristen Wiig,1,0,0,0,0,0,0
Written by Michel Hazanavicius,1,0,0,0,0,0,0
Screenplay by Bridget O'Connor & Peter Straughan,1,0,0,0,0,0,0
Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin,1,0,0,0,0,0,0
Screenplay by George Clooney & Grant Heslov and Beau Willimon,1,0,0,0,0,0,0
Screenplay by John Logan,1,0,0,0,0,0,0
Screenplay by Alexander Payne and Nat Faxon & Jim Rash,1,0,0,0,0,0,0
Michel Hazanavicius,1,0,0,1,4,4,1
Maggie Gyllenhaal,1,0,0,4,0,0,17
Vera Farmiga,1,0,0,1,1,0,31
Gabourey Sidibe,1,0,0,1,0,0,4
Screenplay by Sacha Baron Cohen & Anthony Hines & Peter Baynham & Dan Mazer; Story by Sacha Baron Cohen & Peter Baynham & Anthony Hines & Todd Phillips,1,0,0,0,0,0,0
Hal Holbrook,1,0,0,0,0,0,26
Written by Peter Morgan,1,0,0,0,0,0,0
Written by Guillermo del Toro,1,0,0,0,0,0,0
Written by Michael Arndt,1,0,0,0,0,0,0
Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis,1,0,0,0,0,0,0
Written by Guillermo Arriaga,1,0,0,0,0,0,0
Screenplay by Patrick Marber,1,0,0,0,0,0,0
Screenplay by Todd Field & Tom Perrotta,1,0,0,0,0,0,0
Screenplay by William Monahan,1,0,0,0,0,0,0
Screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby,1,0,0,0,0,0,0
Paul Greengrass,1,0,0,1,7,3,0
Ruby Dee,1,0,0,0,0,0,10
Alejandro González Iñárritu,1,0,0,3,0,0,0
Rinko Kikuchi,1,0,0,1,0,0,10
Jennifer Hudson,1,0,0,1,0,0,7
Abigail Breslin,1,0,0,0,0,0,19
Adriana Barraza,1,0,0,1,0,0,15
Mark Wahlberg,1,0,0,2,0,0,40
Eddie Murphy,1,0,0,5,1,4,37
Jackie Earle Haley,1,0,0,0,1,1,15
Forest Whitaker,1,0,0,2,3,0,54
Written by Stephen Gaghan,1,0,0,0,0,0,0
Ellen Page,1,0,0,1,0,0,16
Amy Ryan,1,0,0,1,0,0,17
Stanley Tucci,1,0,0,3,2,1,51
Mickey Rourke,1,0,0,1,0,0,37
"Screenplay by Andrew Stanton, Jim Reardon; Original story by Andrew Stanton, Pete Docter",1,0,0,0,0,0,0
Written by Dustin Lance Black,1,0,0,0,0,0,0
Written by Courtney Hunt,1,0,0,0,0,0,0
Screenplay by Simon Beaufoy,1,0,0,0,0,0,0
Screenplay by Peter Morgan,1,0,0,0,0,0,0
Written by John Patrick Shanley,1,0,0,0,0,0,0
Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,1,0,0,0,0,0,0
Danny Boyle,1,0,0,1,13,1,0
Taraji P. Henson,1,0,0,1,0,0,21
Josh Brolin,1,0,0,0,0,0,28
Frank Langella,1,0,0,1,0,0,27
Tilda Swinton,1,0,0,2,0,0,28
Written by Tamara Jenkins,1,0,0,0,0,0,0
"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird",1,0,0,0,0,0,0
Written by Tony Gilroy,1,0,0,0,0,0,0
Written by Nancy Oliver,1,0,0,0,0,0,0
Written by Diablo Cody,1,0,0,0,0,0,0
Written for the Screen by Paul Thomas Anderson,1,0,0,0,0,0,0
Written by Sarah Polley,1,0,0,0,0,0,0
Screenplay by Christopher Hampton,1,0,0,0,0,0,0
Tony Gilroy,1,0,0,0,3,12,0
Julian Schnabel,1,0,0,1,2,0,0
Noriyuki 'Pat' Morita,1,0,0,0,0,0,0
Valerie Perrine,1,0,1,1,0,0,13
Adolph Caesar,1,0,0,1,0,0,3
Sidney Sheldon,1,0,0,0,0,2,0
Anatole Litvak,1,0,0,0,1,0,0
Jean Negulesco,1,0,0,0,4,0,0
Ellen Corby,1,0,0,5,0,0,3
Barbara Bel Geddes,1,0,0,3,0,0,1
Oscar Homolka,1,0,0,1,0,0,0
Dan Dailey,1,0,0,2,0,0,0
Lew Ayres,1,0,0,0,0,0,3
John Paxton,1,0,0,0,0,0,2
"Sergio Amidei, Adolfo Franci, C. G. Viola, Cesare Zavattini",1,0,0,0,0,0,0
Abraham Polonsky,1,0,0,0,0,2,0
"Dorothy Parker, Frank Cavett",1,0,0,0,0,0,0
Malvin Wald,1,0,0,0,0,0,0
Valentine Davies,1,0,0,0,0,0,0
Eleazar Lipsky,1,0,0,0,0,1,0
"Herbert Clyde Lewis, Frederick Stephani",1,0,0,0,0,0,0
"Georges Chaperot, Rene Wheeler",1,0,0,0,0,0,0
Edward Dmytryk,1,0,0,0,4,0,0
Henry Koster,1,0,0,0,2,0,0
Marjorie Main,1,0,0,1,0,0,3
Dorothy McGuire,1,0,0,0,0,0,2
Richard Widmark,1,0,0,0,0,0,9
Robert Ryan,1,0,0,0,0,1,6
"Frances Flaherty, Robert Flaherty",1,0,0,0,0,0,0
Borden Chase,1,0,0,0,0,0,0
Michael Redgrave,1,0,2,0,0,0,2
Harry Brown,1,0,0,0,0,2,0
Judy Holliday,1,0,0,5,0,0,1
Erich von Stroheim,1,0,0,1,0,0,1
George Sanders,1,0,0,1,0,0,6
Sam Jaffe,1,0,0,0,0,0,4
Jeff Chandler,1,0,0,0,0,0,0
Louis Calhern,1,0,0,1,0,0,7
"Helen Levitt, Janice Loeb, Sidney Meyers",1,0,0,0,0,0,0
"Alfred Hayes, Federico Fellini, Sergio Amidei, Marcello Pagliero, Roberto Rossellini",1,0,0,0,0,0,0
Virginia Kellogg,1,0,0,0,0,0,0
Douglas Morrow,1,0,0,0,0,1,0
"Shirley W. Smith, Valentine Davies",1,0,0,0,0,0,0
"Charles Brackett, Billy Wilder, Richard L. Breen",1,0,0,0,0,0,0
Clare Boothe Luce,1,0,0,0,0,2,0
William A. Wellman,1,0,0,0,5,0,0
Ethel Waters,1,0,0,0,0,0,0
Jeanne Crain,1,0,0,0,0,0,1
Dean Jagger,1,0,0,0,0,0,8
John Ireland,1,0,0,0,0,0,5
Richard Todd,1,0,0,1,0,0,5
Broderick Crawford,1,0,0,1,0,0,2
"Frank Partos, Millen Brand",1,0,0,0,0,0,0
"Irmgard Von Cube, Allen Vincent",1,0,0,0,0,0,0
Thomas Gomez,1,0,0,0,1,1,2
"Sergio Amidei, F. Fellini",1,0,0,0,0,0,0
Josephine Hull,1,0,0,1,0,0,0
John Dall,1,0,0,0,0,0,4
"John Steinbeck, Jack Wagner",1,0,0,0,0,0,0
Charles G. Booth,1,0,0,0,0,1,0
"Thomas Monroe, Laszlo Gorog",1,0,0,0,0,0,0
Jean Renoir,1,0,0,0,1,1,0
Joan Lorring,1,0,0,0,0,0,2
Ann Blyth,1,0,0,0,0,0,1
Eve Arden,1,0,0,0,0,0,6
Gene Tierney,1,0,0,0,0,0,1
Robert Mitchum,1,0,0,0,0,0,16
James Dunn,1,0,0,0,0,0,0
Michael Chekhov,1,0,0,0,0,0,1
Ernst Marischka,1,0,0,0,0,0,0
Cornel Wilde,1,0,0,0,1,1,4
Ray Milland,1,0,0,2,0,0,9
Gene Kelly,1,0,0,2,4,0,5
"Irving Brecher, Fred F. Finklehoffe",1,0,0,0,0,1,0
"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt",1,0,0,0,0,0,0
"Frank Butler, Frank Cavett",1,0,0,0,0,1,0
"John Van Druten, Walter Reisch, John L. Balderston",1,0,0,0,0,0,0
"Billy Wilder, Raymond Chandler",1,0,0,0,0,1,0
Jerome Cady,1,0,0,0,0,2,0
"Richard Connell, Gladys Lehman",1,0,0,0,0,0,0
Alvah Bessie,1,0,0,0,0,0,0
Richard Schweizer,1,0,0,0,0,0,0
Anthony Veiller,1,0,0,0,0,5,0
Robert Siodmak,1,0,0,0,0,0,0
Robert E. Sherwood,1,0,0,0,0,3,0
"Talbot Jennings, Sally Benson",1,0,0,0,0,0,0
"Muriel Box, Sydney Box",1,0,0,0,0,0,0
Jacques Prevert,1,0,0,0,0,0,0
Raymond Chandler,1,0,0,0,0,3,0
Clemence Dane,1,0,0,0,0,0,0
Charles Brackett,1,0,0,0,0,2,0
Victor Trivas,1,0,0,0,0,0,0
Jack Patrick,1,0,0,0,0,0,0
Vladimir Pozner,1,0,0,0,0,0,0
Flora Robson,1,0,0,0,0,0,2
Myles Connolly,1,0,0,0,0,0,0
Lillian Gish,1,0,0,1,0,0,3
Celia Johnson,1,0,2,0,0,0,0
Harold Russell,1,0,0,0,0,0,2
William Demarest,1,0,0,0,0,0,5
Larry Parks,1,0,0,0,0,0,5
"Tess Slesinger, Frank Davis",1,0,0,0,0,0,0
Ranald MacDougall,1,0,0,0,0,3,0
"Leopold Atlas, Guy Endore, Philip Stevenson",1,0,0,0,0,0,0
Harry Kurnitz,1,0,0,0,0,2,0
Milton Holmes,1,0,0,0,0,0,0
Hope Emerson,1,0,0,0,0,0,0
Nancy Olson,1,0,0,0,0,0,1
"Alfred Neumann, Joseph Than",1,0,0,0,0,0,0
"Jed Harris, Tom Reed",1,0,0,0,0,0,0
Marisa Pavan,1,0,0,1,0,0,1
Peggy Lee,1,0,0,0,0,0,1
Betsy Blair,1,0,0,0,0,0,1
Joe Mantell,1,0,0,0,0,0,4
Ernest Borgnine,1,0,0,2,0,0,22
Budd Schulberg,1,0,0,0,0,0,0
"Valentine Davies, Oscar Brodney",1,0,0,0,0,0,0
"Albert Hackett, Frances Goodrich, Dorothy Kingsley",1,0,0,0,0,0,0
"Billy Wilder, Samuel Taylor, Ernest Lehman",1,0,0,0,0,0,0
Stanley Roberts,1,0,0,0,0,2,0
François Boyer,1,0,0,0,0,1,0
John Sturges,1,0,0,0,6,0,0
Ettore Margadonna,1,0,0,0,0,0,0
Jan Sterling,1,0,0,1,0,0,2
Eva Marie Saint,1,0,0,1,0,0,5
Katy Jurado,1,0,0,1,0,0,6
Nina Foch,1,0,0,0,0,0,9
Dorothy Dandridge,1,0,0,1,0,0,1
Tom Tully,1,0,0,0,0,0,4
Dan O'Herlihy,1,0,0,0,0,0,7
"Charles Brackett, Walter Reisch, Richard Breen",1,0,0,0,0,0,0
"Sam Rolfe, Harold Jack Bloom",1,0,0,0,0,0,0
Jo Van Fleet,1,0,0,0,0,0,1
Delbert Mann,1,0,0,1,2,0,0
"Ian McLellan Hunter, John Dighton",1,0,0,0,0,1,0
Anthony Perkins,1,0,0,0,0,1,7
Jean Paul Sartre,1,0,0,0,0,0,0
"Edward Bernds, Elwood Ullman",1,0,0,0,0,0,0
Leo Katcher,1,0,0,0,0,2,0
Walter Lang,1,0,0,0,1,0,0
Michael Anderson,1,0,0,1,4,0,2
Dorothy Malone,1,0,0,3,0,0,9
Patty McCormack,1,0,0,1,0,0,1
Nancy Kelly,1,0,0,0,0,0,2
Carroll Baker,1,0,0,1,0,0,9
Robert Stack,1,0,0,0,0,0,10
Don Murray,1,0,0,0,0,0,7
Daniel Fuchs,1,0,0,0,0,0,0
Sir Laurence Olivier,1,0,0,0,0,0,0
Rock Hudson,1,0,0,0,0,0,4
Yul Brynner,1,0,0,1,0,0,2
"Jacques Tati, Henri Marquet",1,0,0,0,0,0,0
"William Ludwig, Sonya Levien",1,0,0,0,0,0,0
"Milton Sperling, Emmet Lavery",1,0,0,0,0,0,0
"Daniel Fuchs, Isobel Lennart",1,0,0,0,0,0,0
"Jean Marsan, Henry Troyat, Jacques Perret, Henri Verneuil, Raoul Ploquin",1,0,0,0,0,0,0
Nicholas Ray,1,0,0,0,1,0,2
"Joe Connelly, Bob Mosher",1,0,0,0,0,1,0
"A. B. Guthrie, Jr.",1,0,0,0,0,0,0
Helen Deutsch,1,0,0,0,0,0,0
"Giuseppe De Santis, Carlo Lizzani",1,0,0,0,0,0,0
Kim Hunter,1,0,0,1,0,0,9
"Billy Wilder, Lesser Samuels, Walter Newman",1,0,0,0,0,0,0
"Michael Wilson, Harry Brown",1,0,0,0,0,0,0
"Max Ophuls, Jacques Natanson",1,0,0,0,0,0,0
"Philip Yordan, Robert Wyler",1,0,0,0,0,0,0
"James Agee, John Huston",1,0,0,0,0,0,0
"Alfred Hayes, Stewart Stern",1,0,0,0,0,0,0
"Paul Dehn, James Bernard",1,0,0,0,0,0,0
"Robert Riskin, Liam O'Brien",1,0,0,0,0,0,0
Oscar Millard,1,0,0,0,0,0,0
"Budd Boetticher, Ray Nazarro",1,0,0,0,0,0,0
Joan Blondell,1,0,0,2,0,0,9
Arthur Hunnicutt,1,0,0,0,0,0,1
Kevin McCarthy,1,0,0,0,0,0,12
Leo Genn,1,0,0,0,0,0,2
"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",1,0,0,0,0,0,0
"Joseph L. Mankiewicz, Lesser Samuels",1,0,0,0,0,0,0
"Virginia Kellogg, Bernard C. Schoenfeld",1,0,0,0,0,0,0
Albert Mannheimer,1,0,0,0,0,0,0
"Ben Maddow, John Huston",1,0,0,0,0,1,0
Sy Gomberg,1,0,0,0,0,0,0
Leonard Spigelgass,1,0,0,0,0,2,0
"William Bowers, Andre de Toth",1,0,0,0,0,0,0
"Clarence Greene, Russell Rouse",1,0,0,0,0,0,0
Shirley Booth,1,0,0,2,0,0,1
Daniel Taradash,1,0,0,0,0,1,0
Terence Rattigan,1,0,0,0,0,0,0
Eric Ambler,1,0,0,0,0,0,0
"Ray Ashley, Morris Engel, Ruth Orkin",1,0,0,0,0,0,0
Louis L'Amour,1,0,0,0,0,0,0
Alec Coppel,1,0,0,0,0,1,0
Charles Walters,1,0,0,0,1,0,0
Donna Reed,1,0,0,1,0,0,4
Maggie McNamara,1,0,0,0,0,0,0
Ava Gardner,1,0,0,1,0,0,5
Robert Strauss,1,0,0,0,0,0,2
Brandon De Wilde,1,0,0,0,0,0,0
Sydney Boehm,1,0,0,0,0,1,0
Julie Harris,1,0,0,0,0,0,7
Frank S. Nugent,1,0,0,0,0,3,0
"Roger MacDougall, John Dighton, Alexander Mackendrick",1,0,0,0,0,0,0
Charles Schnee,1,0,0,0,0,2,0
Guy Trosper,1,0,0,0,0,2,0
"Martin Goldsmith, Jack Leonard",1,0,0,0,0,0,0
"Fredric M. Frank, Theodore St. John, Frank Cavett",1,0,0,0,0,0,0
Cecil B. DeMille,1,0,0,0,7,0,1
Terry Moore,1,0,0,0,0,0,4
Colette Marchand,1,0,0,0,0,0,0
Jean Hagen,1,0,0,0,0,0,2
"Edward Doherty, Jules Schermer",1,0,0,0,0,0,0
"Chandler Sprague, David Boehm",1,0,0,0,0,0,0
Sam Waterston,1,0,0,6,0,0,13
Arthur Caesar,1,0,0,0,0,1,0
"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah;  Adaptation by Grover Jones, William Slavens McNutt",1,0,0,0,0,0,0
Casey Robinson,1,0,0,0,0,3,0
"Ben Hecht, Charles MacArthur",1,0,0,0,0,1,0
"Don Hartman, Stephen Avery",1,0,0,0,0,0,0
Gregory Rogers,1,0,0,0,0,0,0
Henry Hathaway,1,0,0,0,5,0,0
Merle Oberon,1,0,0,0,0,0,1
Miriam Hopkins,1,0,0,1,0,0,2
Elisabeth Bergner,1,0,0,0,0,0,0
Franchot Tone,1,0,0,0,0,0,3
Mauri Grashin,1,0,0,0,0,0,0
Mischa Auer,1,0,0,0,0,0,2
Victor Schertzinger,1,0,0,0,0,0,0
Grace Moore,1,0,0,0,0,0,0
Charles MacArthur,1,0,0,0,0,3,0
"Paul Green, Sonya Levien",1,0,0,0,0,0,0
"Victor Heerman, Sarah Y. Mason",1,0,0,0,0,0,0
Diana Wynyard,1,0,0,0,0,0,0
May Robson,1,0,0,0,0,0,6
"Adela Rogers St. Johns, Jane Murfin",1,0,0,0,0,0,0
Lucien Hubbard,1,0,0,0,0,0,0
"Grover Jones, William Slavens McNutt",1,0,0,0,0,0,0
"Talbot Jennings, Jules Furthman, Carey Wilson",1,0,0,0,0,0,0
Stuart Erwin,1,0,0,0,0,0,2
Edwin Burke,1,0,0,0,0,0,0
Andrea Leeds,1,0,0,0,0,0,1
"Morris Ryskind, Anthony Veiller",1,0,0,0,0,0,0
"Norman Reilly Raine, Heinz Herald, Geza Herczeg",1,0,0,0,0,0,0
"John Lee Mahin, Marc Connelly, Dale Van Every",1,0,0,0,0,0,0
Vina Delmar,1,0,0,0,0,0,0
"William A. Wellman, Robert Carson",1,0,0,0,0,0,0
"Heinz Herald, Geza Herczeg",1,0,0,0,0,0,0
Niven Busch,1,0,0,0,0,3,0
William Dieterle,1,0,0,0,3,0,0
Sidney Franklin,1,0,0,0,3,0,0
Anne Shirley,1,0,0,0,0,0,1
Roland Young,1,0,0,0,0,0,5
Gladys George,1,0,0,0,0,0,5
H. B. Warner,1,0,0,0,0,0,0
Joseph Schildkraut,1,0,0,1,0,0,1
Ralph Bellamy,1,0,0,0,0,0,5
"Eric Hatch, Morris Ryskind",1,0,0,0,0,0,0
Adele Comandini,1,0,0,0,0,0,0
Robert Hopkins,1,0,0,0,0,0,0
William Anthony McGuire,1,0,0,0,0,0,0
Robert Z. Leonard,1,0,0,0,3,0,0
Bonita Granville,1,0,0,0,0,0,1
Carole Lombard,1,0,0,0,0,0,2
"Percy Heath, Samuel Hoffenstein",1,0,0,0,0,0,0
Lynn Fontanne,1,0,0,0,0,0,0
Gene Lockhart,1,0,0,0,0,0,5
Warner Baxter,1,0,0,0,0,0,1
Tom Barry,1,0,0,0,0,1,0
Irving Cummings,1,0,0,0,2,0,0
Harry Beaumont,1,0,0,0,1,0,0
Mary Pickford,1,0,0,0,0,0,0
Bessie Love,1,0,0,0,0,0,1
Corinne Griffith,1,0,0,0,0,0,1
Jeanne Eagels,1,0,0,0,0,0,0
Betty Compson,1,0,0,0,0,0,2
Lewis Stone,1,0,0,0,0,0,5
Chester Morris,1,0,0,0,0,0,1
George Bancroft,1,0,0,0,0,0,1
Josephine Lovett,1,0,0,0,0,1,0
"George Marion, Jr.",1,0,0,0,0,0,0
Joseph Farnham,1,0,0,0,0,2,0
Gerald Duffy,1,0,0,0,0,0,0
Lajos Biro,1,0,0,0,0,0,0
Benjamin Glazer,1,0,0,0,0,0,0
Anthony Coldeway,1,0,0,0,0,2,0
Alfred Cohn,1,0,0,0,0,0,0
Herbert Brenon,1,0,0,0,0,0,0
Ted Wilde,1,0,0,0,1,1,0
Louise Dresser,1,0,0,0,0,0,2
Elliott Clawson,1,0,0,0,0,0,0
Bess Meredyth,1,0,0,0,0,0,0
Alfred Lunt,1,0,0,0,0,0,0
Ann Harding,1,0,0,0,0,0,2
"Lucien Hubbard, Joseph Jackson",1,0,0,0,0,0,0
"John Bright, Kubec Glasmon",1,0,0,0,0,0,0
"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",1,0,0,0,0,0,0
John Monk Saunders,1,0,0,0,0,2,0
"Joseph L. Mankiewicz, Sam Mintz",1,0,0,0,0,0,0
"Francis Faragoh, Robert N. Lee",1,0,0,0,0,0,0
Horace Jackson,1,0,0,0,0,0,0
"Seton I. Miller, Fred Niblo, Jr.",1,0,0,0,0,0,0
Howard Estabrook,1,0,0,0,0,0,0
Wesley Ruggles,1,0,0,0,2,0,0
Marlene Dietrich,1,0,0,1,0,0,4
Maurice Chevalier,1,0,0,3,0,0,0
Adolphe Menjou,1,0,0,0,0,0,3
Richard Dix,1,0,0,0,0,0,6
Jackie Cooper,1,0,0,0,0,0,6
(Howard Estabrook),1,0,0,0,0,0,0
(John Meehan),1,0,0,0,0,0,0
(Julian Josephson),1,0,0,0,0,0,0
"(George Abbott), (Maxwell Anderson), (Del Andrews)",1,0,0,0,0,0,0
Robert Leonard,1,0,0,0,0,0,0
Nancy Carroll,1,0,0,0,0,0,2
Lawrence Tibbett,1,0,0,0,0,0,0
"Dorothy Parker, Alan Campbell, Robert Carson",1,0,0,0,0,0,0
Robert Morley,1,0,0,1,0,0,7
Aline MacMahon,1,0,0,0,0,0,2
"Sidney Buchman, Seton I. Miller",1,0,0,0,0,0,0
"Michael Powell, Emeric Pressburger",1,0,0,0,1,0,0
Robert Buckner,1,0,0,0,0,0,0
Sidney Harmon,1,0,0,0,0,0,0
Paul Gallico,1,0,0,0,0,2,0
John Farrow,1,0,0,0,4,1,0
Mervyn LeRoy,1,0,0,1,2,0,0
Susan Peters,1,0,0,0,0,0,0
Henry Travers,1,0,0,0,0,0,1
Van Heflin,1,0,0,0,0,0,2
William Bendix,1,0,0,0,0,0,2
Gordon Wellesley,1,0,0,0,0,0,0
"W. R. Burnett, Frank Butler",1,0,0,0,0,0,0
"Richard Connell, Robert Presnell",1,0,0,0,0,0,0
Monckton Hoffe,1,0,0,0,0,1,0
Harry Segall,1,0,0,0,0,0,0
"Billy Wilder, Thomas Monroe",1,0,0,0,0,0,0
Paul Jarrico,1,0,0,0,0,0,0
"Karl Tunberg, Darrell Ware",1,0,0,0,0,0,0
"Abem Finkel, Harry Chandlee, Howard Koch, John Huston",1,0,0,0,0,0,0
"Herman J. Mankiewicz, Orson Welles",1,0,0,0,0,1,0
Howard Hawks,1,0,0,0,4,0,0
Alexander Hall,1,0,0,0,2,0,0
"Frank Butler, Don Hartman",1,0,0,0,0,0,0
George Oppenheimer,1,0,0,0,0,1,0
Patricia Collinge,1,0,0,0,0,0,0
Steve Fisher,1,0,0,0,0,1,0
Hume Cronyn,1,0,0,1,0,1,9
Alexander Knox,1,0,0,1,0,0,5
Dashiell Hammett,1,0,0,0,0,3,0
"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster",1,0,0,0,0,0,0
"Julius J. Epstein, Philip G. Epstein, Howard Koch",1,0,0,0,0,0,0
Allan Scott,1,0,0,0,0,6,0
Noel Coward,1,0,0,0,0,0,0
Gordon McDonell,1,0,0,0,0,0,0
"Robert Russell, Frank Ross",1,0,0,0,0,0,0
William Saroyan,1,0,0,0,0,0,0
Guy Gilpatric,1,0,0,0,0,0,0
"Ring Lardner, Jr., Michael Kanin",1,0,0,0,0,0,0
Lucile Watson,1,0,0,0,0,0,1
Katina Paxinou,1,0,0,1,0,0,0
Paulette Goddard,1,0,0,0,0,0,5
Jean Arthur,1,0,0,0,0,0,1
Paul Lukas,1,0,0,1,0,0,3
"Irwin Shaw, Sidney Buchman",1,0,0,0,0,0,0
"Claudine West, George Froeschel, Arthur Wimperis",1,0,0,0,0,0,0
"Jo Swerling, Herman J. Mankiewicz",1,0,0,0,0,0,0
"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",1,0,0,0,0,0,0
"Rodney Ackland, Emeric Pressburger",1,0,0,0,0,0,0
Margaret Wycherly,1,0,0,0,0,0,3
Mary Astor,1,0,0,0,0,0,4
Margaret Sullavan,1,0,0,0,0,0,0
Brian Aherne,1,0,0,0,0,0,4
Melchior Lengyel,1,0,0,0,0,0,0
Lewis R. Foster,1,0,0,0,0,1,0
"Mildred Cram, Leo McCarey",1,0,0,0,0,1,0
Felix Jackson,1,0,0,0,0,0,0
Victor Fleming,1,0,0,0,2,0,0
Edna May Oliver,1,0,0,0,0,0,3
Hattie McDaniel,1,0,0,0,0,0,2
Geraldine Fitzgerald,1,0,0,0,0,0,5
Brian Donlevy,1,0,0,0,0,0,3
Harry Carey,1,0,0,0,0,0,16
"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",1,0,0,0,0,0,0
"Charles Brackett, Billy Wilder, Walter Reisch",1,0,0,0,0,0,0
"Julius J. Epstein, Lenore Coffee",1,0,0,0,0,0,0
"Ian Dalrymple, Frank Wead, Elizabeth Hill",1,0,0,0,0,0,0
"John Meehan, Dore Schary",1,0,0,0,0,0,0
Frank Wead,1,0,0,0,0,1,0
"Marcella Burke, Frederick Kohner",1,0,0,0,0,0,0
"Dore Schary, Eleanore Griffin",1,0,0,0,0,0,0
John Howard Lawson,1,0,0,0,0,1,0
Miliza Korjus,1,0,0,0,0,0,0
Spring Byington,1,0,0,1,0,0,3
Billie Burke,1,0,0,0,0,0,5
"R. C. Sherriff, Claudine West, Eric Maschwitz",1,0,0,0,0,0,0
"Charles MacArthur, Ben Hecht",1,0,0,0,0,1,0
Sara Allgood,1,0,0,0,0,0,2
"Charles Bennett, Joan Harrison",1,0,0,0,0,0,0
Sydney Greenstreet,1,0,0,0,0,0,3
James Gleason,1,0,0,0,0,0,7
Donald Crisp,1,0,0,0,0,0,3
"Robert E. Sherwood, Joan Harrison",1,0,0,0,0,0,0
Donald Ogden Stewart,1,0,0,0,0,1,0
Stuart N. Lake,1,0,0,0,0,0,0
"Bella Spewack, Samuel Spewack, Leo McCarey",1,0,0,0,0,0,0
"Dore Schary, Hugo Butler",1,0,0,0,0,0,0
Walter Reisch,1,0,0,0,0,0,0
"Benjamin Glazer, John S. Toldy",1,0,0,0,0,0,0
"John Huston, Heinz Herald, Norman Burnside",1,0,0,0,0,0,0
Raymond Massey,1,0,0,0,0,0,0
Barbara O'Neil,1,0,0,0,0,0,1
Ruth Hussey,1,0,0,0,0,0,1
Jane Darwell,1,0,0,0,0,0,8
Judith Anderson,1,0,0,0,0,0,3
